Country,Id,Model,Pretty,Sex,MAE (g / L),RMSE (g / L),MAE (mmol / L),RMSE (mmol / L),AUROC value,AUROC low,AUROC high,AUPR value,AUPR low,AUPR high,F1 value,F1 low,F1 high
Belgium,rf-male,rf,Random forest,male,NA,NA,NA,NA,0.933849564,0.896747651,0.970951477,0.49442601,0.359291496,0.621816752,0.519230769,0.410882565,0.633737073
Belgium,rf-female,rf,Random forest,female,NA,NA,NA,NA,0.852523041,0.827205915,0.877840168,0.576421011,0.518466225,0.63415462,0.533333333,0.480427669,0.587478259
Belgium,bl-male,bl,Baseline,male,NA,NA,NA,NA,0.922669523,0.895797765,0.949541281,0.280816559,0.173639411,0.37037693,0.270893372,0.241653719,0.299913959
Belgium,bl-female,bl,Baseline,female,NA,NA,NA,NA,0.79198299,0.76248186,0.821484121,0.425252417,0.368436224,0.478467615,0.463541667,0.431709505,0.494910973
Belgium,svm-male,svm,Support Vector Machine,male,NA,NA,NA,NA,0.914695468,0.875606202,0.953784735,0.340175859,0.21637079,0.452399025,0.296296296,0.258300963,0.333564673
Belgium,svm-female,svm,Support Vector Machine,female,NA,NA,NA,NA,0.822359056,0.792996806,0.851721306,0.502983882,0.443720986,0.560591992,0.528244275,0.490403662,0.56654151
Belgium,lmm-male,lmm,Linear mixed model,male,4.98990876,6.333499511,0.309573939,0.39293031,0.897728287,0.854825081,0.940631493,0.35057108,0.211021005,0.470293186,0.439716312,0.3500289,0.528665606
Belgium,dlmm-male,dlmm,Dynamic linear mixed model,male,4.937366889,6.275214059,0.306314242,0.38931428,0.895853789,0.846325436,0.945382143,0.351483646,0.208497231,0.467158534,0.403225806,0.304923083,0.502226874
Belgium,lmm-female,lmm,Linear mixed model,female,5.373396105,6.955380326,0.333365494,0.431511795,0.805142777,0.775617354,0.8346682,0.495694987,0.435814989,0.551865612,0.499168053,0.456183329,0.540588408
Belgium,dlmm-female,dlmm,Dynamic linear mixed model,female,5.369274132,6.972598627,0.333109767,0.432580019,0.812256467,0.783635795,0.840877138,0.500881845,0.444459638,0.558577739,0.509401709,0.463875807,0.553216253
Finland,bl-male,bl,Baseline,male,NA,NA,NA,NA,0.87063769,0.817827275,0.923448106,0.077448748,0.026746934,0.116389629,0.095454545,0.080104198,0.110594707
Finland,bl-female,bl,Baseline,female,NA,NA,NA,NA,0.871015567,0.831818502,0.910212633,0.11712567,0.050481759,0.167891354,0.135306554,0.115093613,0.154999121
Finland,rf-male,rf,Random forest,male,NA,NA,NA,NA,0.837299069,0.749234277,0.925363862,0.096301077,0.008428585,0.161485663,0.066666667,-0.059430099,0.126887521
Finland,rf-female,rf,Random forest,female,NA,NA,NA,NA,0.906007817,0.876602827,0.935412808,0.147790937,0.059579099,0.209095483,0.184615385,0.061618076,0.310792846
Finland,svm-male,svm,Support Vector Machine,male,NA,NA,NA,NA,0.820986675,0.718278118,0.923695232,0.06985752,0.015879612,0.108992792,0.127853881,0.084573657,0.170984192
Finland,svm-female,svm,Support Vector Machine,female,NA,NA,NA,NA,0.762551385,0.672788471,0.852314298,0.099218882,0.012603603,0.158842974,0.137931034,0.104215437,0.171389128
