Country,Id,Model,Pretty,Sex,MAE (g / L),RMSE (g / L),MAE (mmol / L),RMSE (mmol / L),AUROC value,AUROC low,AUROC high,AUPR value,AUPR low,AUPR high,F1 value,F1 low,F1 high
Netherlands,bl-male,bl,Baseline,male,NA,NA,NA,NA,0.834768254,0.772239548,0.89729696,0.059998188,0.030595422,0.086523321,0.080733945,0.068389577,0.092770684
Netherlands,bl-female,bl,Baseline,female,NA,NA,NA,NA,0.764429313,0.700417244,0.828441381,0.101504393,0.063090106,0.133125767,0.139605463,0.121157733,0.157999794
Netherlands,rf-male,rf,Random forest,male,NA,NA,NA,NA,0.890336508,0.840220342,0.940452674,0.163938755,0.030839433,0.285747999,0.236842105,0.120197428,0.35474182
Netherlands,rf-female,rf,Random forest,female,NA,NA,NA,NA,0.810277741,0.753209318,0.867346163,0.157538875,0.085360162,0.220826117,0.218487395,0.122154576,0.315507343
Netherlands,svm-male,svm,Support Vector Machine,male,NA,NA,NA,NA,0.896457143,0.848857634,0.944056652,0.174552327,0.033441868,0.303924161,0.15037594,0.119075326,0.181859356
Netherlands,svm-female,svm,Support Vector Machine,female,NA,NA,NA,NA,0.82476855,0.766766099,0.882771,0.196815788,0.096708133,0.275535656,0.222222222,0.182435878,0.260726431
Netherlands,lmm-male,lmm,Linear mixed model,male,6.652689858,8.689484407,0.412732879,0.539095613,0.886526984,0.824946617,0.948107352,0.202987212,0.020306748,0.339876663,0.266666667,0.146007876,0.386791998
Netherlands,dlmm-male,dlmm,Dynamic linear mixed model,male,6.52581869,8.507610064,0.404861792,0.527812128,0.898539683,0.847848191,0.949231174,0.225743236,0.063350558,0.369211131,0.226415094,0.079985269,0.373771626
Netherlands,lmm-female,lmm,Linear mixed model,female,6.092572363,7.692354984,0.377983189,0.477233703,0.845571135,0.799324047,0.891818222,0.218989471,0.124760205,0.305744845,0.222222222,0.126912413,0.314861568
Netherlands,dlmm-female,dlmm,Dynamic linear mixed model,female,6.066414808,7.645906455,0.376360375,0.474352036,0.847941545,0.803314374,0.892568716,0.224510877,0.120678775,0.31754724,0.257575758,0.164829282,0.35543419
Belgium,bl-male,bl,Baseline,male,NA,NA,NA,NA,0.884268214,0.848034037,0.920502391,0.200344831,0.105235568,0.276321151,0.206303725,0.1723586,0.239776281
Belgium,bl-female,bl,Baseline,female,NA,NA,NA,NA,0.78571503,0.755866089,0.815563972,0.355538122,0.302881543,0.402318565,0.419047619,0.390172765,0.447065741
Belgium,rf-male,rf,Random forest,male,NA,NA,NA,NA,0.909042553,0.87420542,0.943879686,0.351711819,0.218375769,0.475488741,0.341463415,0.242868342,0.443484653
Belgium,rf-female,rf,Random forest,female,NA,NA,NA,NA,0.841083493,0.816425649,0.865741338,0.47311551,0.412629404,0.53118325,0.499102334,0.452891287,0.544557072
Belgium,svm-male,svm,Support Vector Machine,male,NA,NA,NA,NA,0.907237266,0.876966542,0.93750799,0.294362668,0.150186919,0.406620129,0.256880734,0.198706828,0.316791968
Belgium,svm-female,svm,Support Vector Machine,female,NA,NA,NA,NA,0.840506575,0.81599418,0.865018971,0.43586687,0.37852819,0.48909701,0.504409171,0.458986579,0.548206149
Belgium,lmm-male,lmm,Linear mixed model,male,4.875550052,6.259578984,0.302479125,0.38834428,0.90412637,0.872671782,0.935580958,0.250336119,0.139820155,0.345558619,0.279569892,0.161541346,0.40282496
Belgium,dlmm-male,dlmm,Dynamic linear mixed model,male,4.824799076,6.196148767,0.299330535,0.38440907,0.909590587,0.880402579,0.938778594,0.261399231,0.148157048,0.360814201,0.28125,0.186480769,0.37363041
Belgium,lmm-female,lmm,Linear mixed model,female,5.674508521,7.516617902,0.352046509,0.466330975,0.779613952,0.747865652,0.811362252,0.407174476,0.34640208,0.461858919,0.453151618,0.410681789,0.494980876
Belgium,dlmm-female,dlmm,Dynamic linear mixed model,female,5.662364187,7.488697767,0.351293074,0.464598809,0.790043651,0.759315117,0.820772185,0.414800895,0.354538353,0.472225116,0.466769706,0.427437095,0.506293955
Finland,bl-male,bl,Baseline,male,NA,NA,NA,NA,0.87063769,0.817827275,0.923448106,0.077448748,0.026746934,0.116389629,0.095454545,0.080104198,0.110594707
Finland,bl-female,bl,Baseline,female,NA,NA,NA,NA,0.871015567,0.831818502,0.910212633,0.11712567,0.050481759,0.167891354,0.135306554,0.115093613,0.154999121
Finland,rf-male,rf,Random forest,male,NA,NA,NA,NA,0.859295685,0.78788839,0.93070298,0.089409123,-0.003265035,0.154020891,0.066666667,-0.057428544,0.123577223
Finland,rf-female,rf,Random forest,female,NA,NA,NA,NA,0.890086933,0.858157104,0.922016762,0.130909685,0.070069527,0.181919543,0.217687075,0.141738441,0.295267907
Finland,svm-male,svm,Support Vector Machine,male,NA,NA,NA,NA,0.868284687,0.799196984,0.937372389,0.119709264,-0.017986145,0.213773024,0.151898734,0.114847043,0.18745994
Finland,svm-female,svm,Support Vector Machine,female,NA,NA,NA,NA,0.90666487,0.8788538,0.934475939,0.145436003,0.082564944,0.19752803,0.192170819,0.152825011,0.230981059
Finland,lmm-male,lmm,Linear mixed model,male,6.321155675,7.964458236,0.392164498,0.494114989,0.898186337,0.845489685,0.950882989,0.204340488,0.014462375,0.343788304,0.276923077,0.147625667,0.407158823
Finland,dlmm-male,dlmm,Dynamic linear mixed model,male,6.210770619,7.83826758,0.385316209,0.486286121,0.902826248,0.848034829,0.957617666,0.241299727,0.070736043,0.402410266,0.285714286,0.128023551,0.447582893
Finland,lmm-female,lmm,Linear mixed model,female,6.301533085,7.866689353,0.390947113,0.488049407,0.899260395,0.849185949,0.94933484,0.166350162,0.098435567,0.224564709,0.25,0.195410579,0.301795919
Finland,dlmm-female,dlmm,Dynamic linear mixed model,female,6.266892854,7.802614912,0.388798033,0.484074229,0.906723836,0.864066935,0.949380736,0.17344666,0.09763112,0.23644565,0.231884058,0.177083287,0.287504515
South Africa,bl-male,bl,Baseline,male,NA,NA,NA,NA,0.866703763,0.845565098,0.887842427,0.530817685,0.474928374,0.584392369,0.544392523,0.515154687,0.572650466
South Africa,bl-female,bl,Baseline,female,NA,NA,NA,NA,0.765695857,0.740993888,0.790397826,0.458790112,0.419141998,0.49645972,0.559082892,0.532363344,0.585875268
South Africa,rf-male,rf,Random forest,male,NA,NA,NA,NA,0.890154442,0.870463839,0.909845046,0.678586916,0.63151504,0.72481469,0.622496148,0.584110858,0.661500422
South Africa,rf-female,rf,Random forest,female,NA,NA,NA,NA,0.808379472,0.785621152,0.831137792,0.574054058,0.527976393,0.617657353,0.589285714,0.559651004,0.618852732
South Africa,svm-male,svm,Support Vector Machine,male,NA,NA,NA,NA,0.892113541,0.872986603,0.911240478,0.620486043,0.561642437,0.676447731,0.627943485,0.589426106,0.667737516
South Africa,svm-female,svm,Support Vector Machine,female,NA,NA,NA,NA,0.814230198,0.7913276,0.837132797,0.583512254,0.540539308,0.625206547,0.571770335,0.534591022,0.608856808
South Africa,dlmm-male,dlmm,Dynamic linear mixed model,male,8.011101404,10.20086796,0.497008731,0.632861848,0.870717193,0.84936718,0.892067206,0.578045418,0.519431388,0.632423832,0.594936709,0.555305425,0.63642704
South Africa,dlmm-female,dlmm,Dynamic linear mixed model,female,8.143654858,10.24334315,0.505232347,0.635497009,0.804364026,0.781374283,0.82735377,0.549634523,0.502127506,0.593694813,0.584586466,0.556618507,0.613027734
