Country,Id,Model,Pretty,Sex,MAE (g / L),RMSE (g / L),MAE (mmol / L),RMSE (mmol / L),AUROC value,AUROC low,AUROC high,AUPR value,AUPR low,AUPR high,F1 value,F1 low,F1 high
Netherlands,bl-male,bl,Baseline,male,NA,NA,NA,NA,0.846717105,0.824824616,0.868609594,0.070636431,0.054956726,0.084548179,0.086855819,0.081348384,0.092318407
Netherlands,bl-female,bl,Baseline,female,NA,NA,NA,NA,0.769751142,0.748911116,0.790591167,0.092502177,0.076370567,0.105561978,0.12879257,0.121930803,0.135526387
Netherlands,rf-male,rf,Random forest,male,NA,NA,NA,NA,0.888963651,0.868764914,0.909162389,0.167851097,0.115694782,0.211743862,0.264788732,0.205953188,0.323214908
Netherlands,rf-female,rf,Random forest,female,NA,NA,NA,NA,0.831818965,0.812723462,0.850914468,0.178091243,0.145802329,0.207184955,0.248394004,0.213648357,0.283273212
Netherlands,svm-male,svm,Support Vector Machine,male,NA,NA,NA,NA,0.892494394,0.873019993,0.911968794,0.163287151,0.114368768,0.204488624,0.152032999,0.138172993,0.165769867
Netherlands,svm-female,svm,Support Vector Machine,female,NA,NA,NA,NA,0.83509478,0.81592652,0.85426304,0.180672301,0.14828818,0.209450493,0.209198209,0.194141861,0.224521303
Netherlands,lmm-male,lmm,Linear mixed model,male,6.511810355,8.318396317,0.403992714,0.516073308,0.874449502,0.852851546,0.896047458,0.133005764,0.093202432,0.166571467,0.230088496,0.180573657,0.27822482
Netherlands,dlmm-male,dlmm,Dynamic linear mixed model,male,6.412301477,8.162826867,0.397819184,0.506421779,0.883510409,0.862962979,0.904057839,0.144542187,0.098348155,0.181579744,0.213507625,0.165751499,0.261602618
Netherlands,lmm-female,lmm,Linear mixed model,female,5.834027935,7.683870328,0.361943093,0.476707315,0.846765389,0.82998128,0.863549498,0.181003812,0.148442853,0.20986649,0.257615318,0.227457636,0.28723944
Netherlands,dlmm-female,dlmm,Dynamic linear mixed model,female,5.81300472,7.644435408,0.360638813,0.474260773,0.850786688,0.834600618,0.866972759,0.185027036,0.150317394,0.215775705,0.258340462,0.228332554,0.288845822
Belgium,bl-male,bl,Baseline,male,NA,NA,NA,NA,0.884268214,0.848034037,0.920502391,0.200344831,0.105235568,0.276321151,0.206303725,0.1723586,0.239776281
Belgium,bl-female,bl,Baseline,female,NA,NA,NA,NA,0.78571503,0.755866089,0.815563972,0.355538122,0.302881543,0.402318565,0.419047619,0.390172765,0.447065741
Belgium,rf-male,rf,Random forest,male,NA,NA,NA,NA,0.909042553,0.87420542,0.943879686,0.351711819,0.218375769,0.475488741,0.341463415,0.242868342,0.443484653
Belgium,rf-female,rf,Random forest,female,NA,NA,NA,NA,0.841083493,0.816425649,0.865741338,0.47311551,0.412629404,0.53118325,0.499102334,0.452891287,0.544557072
Belgium,svm-male,svm,Support Vector Machine,male,NA,NA,NA,NA,0.907237266,0.876966542,0.93750799,0.294362668,0.150186919,0.406620129,0.256880734,0.198706828,0.316791968
Belgium,svm-female,svm,Support Vector Machine,female,NA,NA,NA,NA,0.840506575,0.81599418,0.865018971,0.43586687,0.37852819,0.48909701,0.504409171,0.458986579,0.548206149
Belgium,lmm-male,lmm,Linear mixed model,male,4.875558612,6.259621151,0.302479656,0.388346896,0.904231141,0.872826199,0.935636083,0.248906953,0.139342339,0.34346443,0.279569892,0.161541346,0.40282496
Belgium,dlmm-male,dlmm,Dynamic linear mixed model,male,4.824896327,6.196203839,0.299336568,0.384412486,0.910598001,0.882025175,0.939170828,0.261967367,0.148764851,0.361338453,0.299212598,0.203670344,0.392688752
Belgium,lmm-female,lmm,Linear mixed model,female,5.674508166,7.516566723,0.352046487,0.4663278,0.779841591,0.74806544,0.811617742,0.407238291,0.346536644,0.461860672,0.455479452,0.412713367,0.497312513
Belgium,dlmm-female,dlmm,Dynamic linear mixed model,female,5.662045557,7.488334013,0.351273306,0.464576242,0.790316471,0.759681805,0.820951137,0.414471483,0.354330143,0.471800391,0.463414634,0.424557183,0.502595492
Finland,bl-male,bl,Baseline,male,NA,NA,NA,NA,0.876013323,0.843356711,0.908669935,0.074856104,0.042991454,0.101706468,0.081632653,0.069769769,0.093722191
Finland,bl-female,bl,Baseline,female,NA,NA,NA,NA,0.809268604,0.778330404,0.840206804,0.088734152,0.068688112,0.106482751,0.132315522,0.118976663,0.145595669
Finland,rf-male,rf,Random forest,male,NA,NA,NA,NA,0.891781571,0.85654058,0.927022562,0.145226506,0.045718456,0.224777054,0.208695652,0.111792628,0.308536191
Finland,rf-female,rf,Random forest,female,NA,NA,NA,NA,0.847773819,0.819645155,0.875902482,0.14352252,0.099125024,0.182613516,0.199288256,0.137013037,0.262186001
Finland,svm-male,svm,Support Vector Machine,male,NA,NA,NA,NA,0.898247247,0.866422726,0.930071767,0.135361416,0.049317061,0.204623592,0.116147309,0.097216369,0.134927191
Finland,svm-female,svm,Support Vector Machine,female,NA,NA,NA,NA,0.844556583,0.815625334,0.873487833,0.143220901,0.100454713,0.181617148,0.173733195,0.150097453,0.196951285
Finland,lmm-male,lmm,Linear mixed model,male,6.42844982,8.169860266,0.398821027,0.506858131,0.879405354,0.840968122,0.917842585,0.126005574,0.047728022,0.189223124,0.211267606,0.125727562,0.296285335
Finland,dlmm-male,dlmm,Dynamic linear mixed model,male,6.332096604,8.049353545,0.392843273,0.499381894,0.883244349,0.843122367,0.92336633,0.137756715,0.053135063,0.203580231,0.230088496,0.130487244,0.329882669
Finland,lmm-female,lmm,Linear mixed model,female,6.293634965,8.002196888,0.390457113,0.496456295,0.818073092,0.781631172,0.854515011,0.164462859,0.107787457,0.215042138,0.23495702,0.177430861,0.292420642
Finland,dlmm-female,dlmm,Dynamic linear mixed model,female,6.246617182,7.931194024,0.38754013,0.492051277,0.825220902,0.791073339,0.859368464,0.159172126,0.109111512,0.204903929,0.261580381,0.206530893,0.316068194
